scenario_id,scenario_duration_id,hotspot_label,segment,edge_from,edge_to,is_top25_segment,top_segment_rank,selected_flow_count,estimated_offered_rate_mbps,isl_capacity_mbps,scheduled_load_ratio,edge_rank_by_load,mean_utilization,p95_utilization,max_utilization,utilization_sample_count,yellow_count,red_count,yellow_plus_red_count,br_path_decision_count,br_path_br_selected,br_path_sbr_selected,br_path_fallback,br_path_no_route,br_path_sbr_ratio,br_path_sbr_ratio_no_fallback,sbr_share_of_sample_global_sbr,decision_share_of_sample_global_decisions
H60,H60_60s,Hotspot-Moderate,522->521,522,521,False,,1,2.0,10.0,0.2,112,0.11670013793103448,0.197002,0.228304,57,0,0,0,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,557->558,557,558,False,,1,2.0,10.0,0.2,115,0.10083070689655173,0.162216,0.182643,58,0,0,0,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,558->559,558,559,False,,1,2.0,10.0,0.2,117,0.09824115517241379,0.158611,0.18024,55,0,0,0,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,521->520,521,520,False,,1,2.0,10.0,0.2,110,0.03445272413793103,0.094926,0.117757,57,0,0,0,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,558->557,558,557,False,,1,2.0,10.0,0.2,116,0.001056603448275862,0.013218,0.020427,13,0,0,0,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,520->559,520,559,False,,1,2.0,10.0,0.2,109,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,,,0.0,0.0
H60,H60_60s,Hotspot-Moderate,559->558,559,558,False,,1,2.0,10.0,0.2,119,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,,,0.0,0.0
H80,H80_60s,Hotspot-High,176->136,176,136,True,1,4,10.666666666666666,10.0,1.0666666666666669,40,0.572128724137931,0.755806,0.776453,58,72,197,269,11331,7488,3843,0,0,0.33915806195393167,0.33915806195393167,0.04164093228878848,0.003777
H80,H80_60s,Hotspot-High,136->176,136,176,True,2,4,10.666666666666666,10.0,1.0666666666666669,39,0.5681571206896552,0.734817,0.757078,58,303,42,345,27270,23575,3695,0,0,0.13549688302163548,0.13549688302163548,0.04003727421469514,0.00909
H80,H80_60s,Hotspot-High,175->135,175,135,True,3,5,13.333333333333332,10.0,1.3333333333333333,36,0.5373857241379311,0.723474,0.733072,58,113,122,235,8955,5675,3280,0,0,0.36627582356225574,0.36627582356225574,0.0355405302907172,0.002985
H80,H80_60s,Hotspot-High,135->175,135,175,True,4,5,13.333333333333332,10.0,1.3333333333333333,35,0.5696990172413793,0.707742,0.74957,58,147,53,200,26221,23969,2252,0,0,0.08588535906334617,0.08588535906334617,0.024401607992285104,0.008740333333333333
H80,H80_60s,Hotspot-High,135->95,135,95,True,5,11,29.33333333333333,10.0,2.933333333333333,22,0.4871041724137931,0.697896,0.805653,58,92,84,176,9269,6330,2939,0,0,0.31707843348797066,0.31707843348797066,0.031845615403785936,0.0030896666666666668
H80,H80_60s,Hotspot-High,95->135,95,135,True,6,11,29.33333333333333,10.0,2.933333333333333,21,0.5484470862068965,0.688569,0.690919,58,156,46,202,32101,29767,2334,0,0,0.07270801532662534,0.07270801532662534,0.025290121249553033,0.010700333333333333
H80,H80_60s,Hotspot-High,96->136,96,136,True,7,10,26.666666666666664,10.0,2.6666666666666665,25,0.5143059137931034,0.688053,0.743435,58,153,46,199,33826,31137,2689,0,0,0.07949506296931355,0.07949506296931355,0.029136733521871513,0.011275333333333333
H80,H80_60s,Hotspot-High,55->95,55,95,True,8,13,34.666666666666664,10.0,3.4666666666666663,4,0.46854079310344826,0.68371,0.709061,58,108,49,157,33430,31756,1674,0,0,0.05007478312892612,0.05007478312892612,0.01813867308129896,0.011143333333333333
H80,H80_60s,Hotspot-High,136->96,136,96,True,9,10,26.666666666666664,10.0,2.6666666666666665,26,0.5060736896551724,0.664512,0.677671,58,98,83,181,9233,6193,3040,0,0,0.32925376367377884,0.32925376367377884,0.03294000368407936,0.0030776666666666665
H80,H80_60s,Hotspot-High,15->55,15,55,True,10,13,34.666666666666664,10.0,3.4666666666666663,1,0.45770562068965515,0.662081,0.672237,58,100,39,139,40544,39545,999,0,0,0.02463989739542226,0.02463989739542226,0.010824692000130027,0.013514666666666666
H80,H80_60s,Hotspot-High,643->683,643,683,True,11,12,32.0,10.0,3.2,18,0.48117824137931037,0.657275,0.685843,58,69,70,139,2259,1109,1150,0,0,0.5090748118636564,0.5090748118636564,0.012460856656806336,0.000753
H80,H80_60s,Hotspot-High,604->644,604,644,True,12,13,34.666666666666664,10.0,3.4666666666666663,8,0.4862539827586207,0.656073,0.771686,58,89,65,154,1247,476,771,0,0,0.6182838813151563,0.6182838813151563,0.008354191723824074,0.00041566666666666667
H80,H80_60s,Hotspot-High,684->15,684,15,True,13,13,34.666666666666664,10.0,3.4666666666666663,11,0.4669455344827586,0.652857,0.705339,58,75,34,109,2464,87,2377,0,0,0.9646915584415584,0.9646915584415584,0.025756048933242313,0.0008213333333333333
H80,H80_60s,Hotspot-High,16->56,16,56,False,,12,32.0,10.0,3.2,13,0.47494239655172416,0.645259,0.675702,58,86,64,150,0,0,0,0,0,,,0.0,0.0
H80,H80_60s,Hotspot-High,644->684,644,684,False,,13,34.666666666666664,10.0,3.4666666666666663,10,0.48434796551724135,0.633243,0.705339,58,84,39,123,0,0,0,0,0,,,0.0,0.0
H80,H80_60s,Hotspot-High,56->96,56,96,False,,12,32.0,10.0,3.2,16,0.49088822413793104,0.630385,0.692201,58,115,49,164,0,0,0,0,0,,,0.0,0.0
H80,H80_60s,Hotspot-High,603->643,603,643,False,,11,29.33333333333333,10.0,2.933333333333333,23,0.5048373103448276,0.629638,0.636847,58,76,88,164,0,0,0,0,0,,,0.0,0.0
H80,H80_60s,Hotspot-High,96->56,96,56,False,,12,32.0,10.0,3.2,17,0.3931719827586207,0.6289,0.671895,58,74,34,108,0,0,0,0,0,,,0.0,0.0
H80,H80_60s,Hotspot-High,55->15,55,15,False,,13,34.666666666666664,10.0,3.4666666666666663,3,0.3913483448275862,0.611614,0.659293,58,68,16,84,0,0,0,0,0,,,0.0,0.0
